2026-03-09 06:40:46,583 [INFO] Login...
2026-03-09 06:41:22,747 [WARNING] FAIL 2026-01-21 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,750 [WARNING] FAIL 2026-01-21 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,756 [WARNING] FAIL 2026-01-21 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,760 [WARNING] FAIL 2026-01-22 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,765 [WARNING] FAIL 2026-01-22 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,768 [WARNING] FAIL 2026-01-22 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,772 [WARNING] FAIL 2026-01-23 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,773 [WARNING] FAIL 2026-01-23 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,778 [WARNING] FAIL 2026-01-23 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,782 [WARNING] FAIL 2026-01-24 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,786 [WARNING] FAIL 2026-01-24 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,789 [WARNING] FAIL 2026-01-24 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,793 [WARNING] FAIL 2026-01-25 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,796 [WARNING] FAIL 2026-01-25 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,799 [WARNING] FAIL 2026-01-25 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,806 [WARNING] FAIL 2026-01-26 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,811 [WARNING] FAIL 2026-01-26 attempt 2: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,815 [WARNING] FAIL 2026-01-26 attempt 3: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,820 [WARNING] FAIL 2026-01-27 attempt 1: Page.goto: Target page, context or browser has been closed
2026-03-09 06:41:22,824 [WARNING] FAIL 2026-01-27 attempt 2: Page.goto: Target page, context or browser has been closed
